STRUCTURE,STRUCTUREID,STRUCTUREFULLNAME,STRUCTURECOLOR,STRUCTUREREGION,STRUCTUREREGIONCOLOR,CLUSTER
LOT1,15954,layer 1 of LOT,DE5548,Rest Forebrain,C86A39,5
LPall,15956,lateral pallium,E76E3E,Rest Forebrain,C86A39,5
AOB,15957,accessory olfactory bulb,E76E3E,Rest Forebrain,C86A39,5
AOBv,15958,ventricular zone of AOB,E76E3E,Rest Forebrain,C86A39,5
AOBm,15959,mantle zone of AOB,F37441,Rest Forebrain,C86A39,5
AOBp,15960,periventricular stratum of AOB,F37441,Rest Forebrain,C86A39,5
AGr,15961,AOB- granular layer,DB683B,Rest Forebrain,C86A39,5
AIPl,15962,AOB- internal plexiform layer,F37441,Rest Forebrain,C86A39,5
AOBi,15963,intermediate stratum of AOB,F37441,Rest Forebrain,C86A39,5
AMtr,15964,AOB- mitral cell layer,F37441,Rest Forebrain,C86A39,5
AOPl,15965,AOB- outer plexiform layer,F37441,Rest Forebrain,C86A39,5
AOBs,15966,superficial stratum of AOB,F37441,Rest Forebrain,C86A39,5
AGlom,15967,AOB- glomerular layer,F37441,Rest Forebrain,C86A39,5
AOD,15969,anterior olfactory area- dorsal part,E76E3E,Rest Forebrain,C86A39,5
AODv,15970,ventricular zone of AOD,E76E3E,Rest Forebrain,C86A39,5
AODm,15971,mantle zone of AOD,F37441,Rest Forebrain,C86A39,5
AODp,15972,periventricular stratum of AOD,F37441,Rest Forebrain,C86A39,5
AODi,15973,intermediate stratum of AOD,F37441,Rest Forebrain,C86A39,5
AODs,15974,superficial stratum of AOD,F37441,Rest Forebrain,C86A39,5
AOD1,15975,layer 1 of AOD cortex,F37441,Rest Forebrain,C86A39,5
AOD2,15976,layer 2 of AOD cortex,DB683B,Rest Forebrain,C86A39,5
AOD3,15977,layer 3 of AOD cortex,F37441,Rest Forebrain,C86A39,5
AODE,15978,external part of AOD,F37441,Rest Forebrain,C86A39,5
LPrP,15979,lateropallial prepiriform area,E76E3E,Rest Forebrain,C86A39,5
LPrPv,15980,ventricular zone of LPrP,E76E3E,Rest Forebrain,C86A39,5
LPrPm,15981,mantle zone of LPrP,F37441,Rest Forebrain,C86A39,5
LPrPp,15982,periventricular stratum of LPrP,F37441,Rest Forebrain,C86A39,5
LPrPi,15983,intermediate stratum of LPrP,F37441,Rest Forebrain,C86A39,5
Cl,15984,claustrum,F37441,Rest Forebrain,C86A39,5
LPrPs,15985,superficial stratum of LPrP,F37441,Rest Forebrain,C86A39,5
LPrP1,15986,layer 1 of LPrP cortex,F37441,Rest Forebrain,C86A39,5
LPrP2,15987,layer 2 of LPrP cortex,DB683B,Rest Forebrain,C86A39,5
LPrP3,15988,layer 3 of LPrP cortex,F37441,Rest Forebrain,C86A39,5
LAP,15989,lateropallial amygdalopiriform area,E76E3E,Rest Forebrain,C86A39,5
LAPv,15990,ventricular zone of LAP,E76E3E,Rest Forebrain,C86A39,5
LAPm,15991,mantle zone of LAP,F37441,Rest Forebrain,C86A39,5
LAPp,15992,periventricular stratum of LAP,F37441,Rest Forebrain,C86A39,5
LAPi,15993,intermediate stratum of LAP,F37441,Rest Forebrain,C86A39,5
BLA,15994,basolateral amygdaloid nucleus- anterior part,F37441,Rest Forebrain,C86A39,5
BLP,15995,basolateral amygdaloid nucleus- posterior part,F37441,Rest Forebrain,C86A39,5
BLV,15996,basolateral amygdaloid nucleus- ventral part,F37441,Rest Forebrain,C86A39,5
LAPs,15997,superficial stratum of LAP,F37441,Rest Forebrain,C86A39,5
APir,15998,amygdalopiriform area,F37441,Rest Forebrain,C86A39,5
PLCo,15999,posterolateral cortical amygdaloid area,F37441,Rest Forebrain,C86A39,5
ACo,16000,anterior cortical amygdaloid area,F37441,Rest Forebrain,C86A39,5
DPall,16001,dorsal pallium/isocortex,F2193C,Cortex,F2193C,5
DPallv,111220552,ventricular zone of DPall,F2193C,Cortex,F2193C,5
DPallm,111220554,mantle zone of DPall,F32F4F,Cortex,F2193C,5
DPallp,111220556,periventricular stratum of DPall,F32F4F,Cortex,F2193C,5
DPalli,111220558,intermediate stratum of DPall,F32F4F,Cortex,F2193C,5
DPalls,111220560,superficial stratum of DPall,F32F4F,Cortex,F2193C,5
FCx,16002,frontal cortex,F2193C,Cortex,F2193C,5
FCm,16004,mantle zone of FCx,F32F4F,Cortex,F2193C,5
FCs,16007,superficial stratum of FCx (cortical plate/marginal zone),F32F4F,Cortex,F2193C,5
FC-1,16008,layer 1 of FCx,F32F4F,Cortex,F2193C,5
FC-2,16009,layer 2 of FCx,F32F4F,Cortex,F2193C,5
FC-3,16010,layer 3 of FCx,F32F4F,Cortex,F2193C,5
FC-4,16011,layer 4 of FCx,F32F4F,Cortex,F2193C,5
FC-5,16012,layer 5 of FCx,F32F4F,Cortex,F2193C,5
FC-6,16013,layer 6 of FCx,F32F4F,Cortex,F2193C,5
FC-6a,16014,sublayer 6a of FCx,F32F4F,Cortex,F2193C,5
FC-6b,16015,sublayer 6b of FCx,F32F4F,Cortex,F2193C,5
PCx,16016,parietal cortex,F2193C,Cortex,F2193C,5
PCm,16018,mantle zone of PCx,F32F4F,Cortex,F2193C,5
PCs,16021,superficial stratum of PCx (cortical plate/marginal zone),F32F4F,Cortex,F2193C,5
PC-1,16022,layer 1 of PCx,F32F4F,Cortex,F2193C,5
PC-2,16023,layer 2 of PCx,F32F4F,Cortex,F2193C,5
PC-3,16024,layer 3 of PCx,F32F4F,Cortex,F2193C,5
PC-4,16025,layer 4 of PCx,F32F4F,Cortex,F2193C,5
PC-5,16026,layer 5 of PCx,F32F4F,Cortex,F2193C,5
PC-6,16027,layer 6 of PCx,F32F4F,Cortex,F2193C,5
PC-6a,16028,sublayer 6a of PCx,F32F4F,Cortex,F2193C,5
PC-6b,16029,sublayer 6b of PCx,F32F4F,Cortex,F2193C,5
OCx,16030,occipital cortex,F2193C,Cortex,F2193C,5
OCm,16032,mantle zone of OCx,F32F4F,Cortex,F2193C,5
OCs,16035,superficial stratum of OCx (cortical plate/marginal zone),F32F4F,Cortex,F2193C,5
OC-1,16036,layer 1 of OCx,F32F4F,Cortex,F2193C,5
OC-2,16037,layer 2 of OCx,F32F4F,Cortex,F2193C,5
OC-3,16038,layer 3 of OCx,F32F4F,Cortex,F2193C,5
OC-4,16039,layer 4 of OCx,F32F4F,Cortex,F2193C,5
OC-5,16040,layer 5 of OCx,F32F4F,Cortex,F2193C,5
OC-6,16041,layer 6 of OCx,F32F4F,Cortex,F2193C,5
OC-6a,16042,sublayer 6a of OCx,F32F4F,Cortex,F2193C,5
OC-6b,16043,sublayer 6b of OCx,F32F4F,Cortex,F2193C,5
TCx,16044,temporal cortex,F2193C,Cortex,F2193C,5
TCm,16046,mantle zone of TCx,F32F4F,Cortex,F2193C,5
TCs,16049,superficial stratum of TCx (cortical plate/marginal zone),F32F4F,Cortex,F2193C,5
TC-1,16050,layer 1 of TCx,F32F4F,Cortex,F2193C,5
TC-2,16051,layer 2 of TCx,F32F4F,Cortex,F2193C,5
TC-3,16052,layer 3 of TCx,F32F4F,Cortex,F2193C,5
TC-4,16053,layer 4 of TCx,F32F4F,Cortex,F2193C,5
TC-5,16054,layer 5 of TCx,F32F4F,Cortex,F2193C,5
TC-6,16055,layer 6 of TCx,F32F4F,Cortex,F2193C,5
InsCx,16058,insular cortex,F2193C,Cortex,F2193C,5
InsCm,16060,mantle zone of InsCx,F32F4F,Cortex,F2193C,5
InsCs,16063,superficial stratum of InsCx (cortical plate/marginal zone),F32F4F,Cortex,F2193C,5
InsC-1,16064,layer 1 of InsCx,F32F4F,Cortex,F2193C,5
InsC-2,16065,layer 2 of InsCx,F32F4F,Cortex,F2193C,5
InsC-3,16066,layer 3 of InsCx,F32F4F,Cortex,F2193C,5
InsC-4,16067,layer 4 of InsCx,F32F4F,Cortex,F2193C,5
InsC-5,16068,layer 5 of InsCx,F32F4F,Cortex,F2193C,5
InsC-6,16069,layer 6 of InsCx,F32F4F,Cortex,F2193C,5
InsC-6a,16070,sublayer 6a of InsCx,F32F4F,Cortex,F2193C,5
InsC-6b,16071,sublayer 6b of InsCx,F32F4F,Cortex,F2193C,5
CCx,16072,cingulate cortex,F2193C,Cortex,F2193C,5
CCm,16074,mantle zone of CCx,F32F4F,Cortex,F2193C,5
CCs,16077,superficial stratum of CCx (cortical plate/marginal zone),F32F4F,Cortex,F2193C,5
CC-1,16078,layer 1 of CCx,F32F4F,Cortex,F2193C,5
CC-2,16079,layer 2 of CCx,F32F4F,Cortex,F2193C,5
CC-3,16080,layer 3 of CCx,F32F4F,Cortex,F2193C,5
CC-4,16081,layer 4 of CCx,F32F4F,Cortex,F2193C,5
CC-5,16082,layer 5 of CCx,F32F4F,Cortex,F2193C,5
CC-6,16083,layer 6 of CCx,F32F4F,Cortex,F2193C,5
CC-6a,16084,sublayer 6a of CCx,F32F4F,Cortex,F2193C,5
CC-6b,16085,sublayer 6b of CCx,F32F4F,Cortex,F2193C,5
PERCx,16086,perirhinal-ectorhinal cortex,F2193C,Cortex,F2193C,5
PRh-Ect-1,16087,layer 1 of PRh-Ect,F32F4F,Cortex,F2193C,5
PRh-Ect-2,16088,layer 2 of PRh-Ect,F32F4F,Cortex,F2193C,5
PRh-Ect-3,16089,layer 3 of PRh-Ect,F32F4F,Cortex,F2193C,5
PRh-Ect-4,16090,layer 4 of PRh-Ect,F32F4F,Cortex,F2193C,5
PRh-Ect-5,16091,layer 5 of PRh-Ect,F32F4F,Cortex,F2193C,5
PRh-Ect-6,16092,layer 6 of PRh-Ect,F32F4F,Cortex,F2193C,5
RSCx,16093,retrosplenial cortex,F2193C,Cortex,F2193C,5
RSC-1,16094,layer 1 of RSC,F32F4F,Cortex,F2193C,5
RSC-2,16095,layer 2 of RSC,F32F4F,Cortex,F2193C,5
RSC-3,16096,layer 3 of RSC,F32F4F,Cortex,F2193C,5
RSC-4,16097,layer 4 of RSC,F32F4F,Cortex,F2193C,5
RSC-5,16098,layer 5 of RSC,F32F4F,Cortex,F2193C,5
RSC-6,16099,layer 6 of RSC,F32F4F,Cortex,F2193C,5
RSC-6a,16100,layer 6a of RSC,F32F4F,Cortex,F2193C,5
RSC-6b,16101,layer 6b of RSC,F32F4F,Cortex,F2193C,5
ERCx,16102,entorhinal cortex,F2193C,Cortex,F2193C,5
ERm,16104,mantle zone of ERCx,F32F4F,Cortex,F2193C,5
ERs,16107,superficial stratum of ERCx (cortical plate/marginal zone),F32F4F,Cortex,F2193C,5
ER-1,16108,layer 1 of ERCx,F32F4F,Cortex,F2193C,5
ER-2,16109,layer 2 of ERCx,F32F4F,Cortex,F2193C,5
ER-3,16110,layer 3 of ERCx,F32F4F,Cortex,F2193C,5
ER-4,16111,layer 4 of ERCx,F32F4F,Cortex,F2193C,5
ER-5,16112,layer 5 of ERCx,F32F4F,Cortex,F2193C,5
ER-6,16113,layer 6 of ERCx,F32F4F,Cortex,F2193C,5
MPall,16114,medial pallium (hippocampal allocortex),FF4865,Hippocampus,FF4865,5
MPallv,111220562,ventricular zone of MPall,FF4865,Hippocampus,FF4865,5
MPallm,111220564,mantle zone of MPall,FF5974,Hippocampus,FF4865,5
MPallp,111220566,periventricular stratum of MPall,FF5974,Hippocampus,FF4865,5
MPalli,111220568,intermediate stratum of MPall,FF5974,Hippocampus,FF4865,5
MPalls,111220570,superficial stratum of MPall,FF5974,Hippocampus,FF4865,5
DG,16115,dentate gyrus,FF4865,Hippocampus,FF4865,5
DGv,16116,ventricular zone of DG,FF4865,Hippocampus,FF4865,5
DGm,16117,mantle zone of DG,FF5974,Hippocampus,FF4865,5
DGp,16118,periventricular stratum of DG,FF5974,Hippocampus,FF4865,5
DGi,16119,intermediate stratum of DG,FF5974,Hippocampus,FF4865,5
DGHil,16120,hilus of the DG,FF5974,Hippocampus,FF4865,5
DGs,16121,superficial stratum of DG,FF5974,Hippocampus,FF4865,5
DGGran,16122,granule cell layer of the DG,D93D56,Hippocampus,FF4865,5
DGMol,16123,molecular layer of the DG,FF5974,Hippocampus,FF4865,5
CA,16124,hippocampus (cortex Ammonis),FF4865,Hippocampus,FF4865,5
CAv,16125,ventricular zone of CA,FF4865,Hippocampus,FF4865,5
CAm,16126,mantle zone of CA,FF5974,Hippocampus,FF4865,5
CAp,16127,periventricular stratum of CA,FF5974,Hippocampus,FF4865,5
CAi,16128,intermediate stratum of CA,FF5974,Hippocampus,FF4865,5
CAs,16130,superficial stratum of CA,FF5974,Hippocampus,FF4865,5
CA1,16131,Field CA1,FF5974,Hippocampus,FF4865,5
CA1so,16132,Field CA1- stratum oriens,FF5974,Hippocampus,FF4865,5
CA1sp,16133,Field CA1- stratum pyramidale,D93D56,Hippocampus,FF4865,5
CA1sr,16134,Field CA1- stratum radiatum,FF5974,Hippocampus,FF4865,5
CA1slm,16135,Field CA1- stratum lacunosum-moleculare,FF5974,Hippocampus,FF4865,5
CA2,16136,Field CA2,FF5974,Hippocampus,FF4865,5
CA2slm,16137,Field CA2- stratum lacunosum-moleculare,FF5974,Hippocampus,FF4865,5
CA2so,16138,Field CA2- stratum oriens,FF5974,Hippocampus,FF4865,5
CA2sp,16139,Field CA2- stratum pyramidale,D93D56,Hippocampus,FF4865,5
CA2sr,16140,Field CA2- stratum radiatum,FF5974,Hippocampus,FF4865,5
CA3,16141,Field CA3,FF5974,Hippocampus,FF4865,5
CA3so,16142,Field CA3- stratum oriens,FF5974,Hippocampus,FF4865,5
CA3sp,16143,Field CA3- stratum pyramidale,D93D56,Hippocampus,FF4865,5
CA3sr,16145,Field CA3- stratum radiatum,FF5974,Hippocampus,FF4865,5
CA3slm,16146,Field CA3- stratum lacunosum-moleculare,FF5974,Hippocampus,FF4865,5
IG,16147,induseum griseum,FF4865,Hippocampus,FF4865,5
IGm,16149,mantle zone of the IG,FF5974,Hippocampus,FF4865,5
IGp,16150,periventricular stratum of the IG,FF5974,Hippocampus,FF4865,5
IGi,16151,intermediate stratum of the IG,FF5974,Hippocampus,FF4865,5
IGs,16152,superficial stratum of the IG,FF5974,Hippocampus,FF4865,5
PyIG,16153,pyramidal layer of IG,FF5974,Hippocampus,FF4865,5
TTe,16154,taenia tecta,FF4865,Hippocampus,FF4865,5
TTem,16156,mantle zone of TTe,FF5974,Hippocampus,FF4865,5
TTep,16157,periventricular stratum of TTe,FF5974,Hippocampus,FF4865,5
DPp,16158,dorsal peduncular cortex- periventricular part,FF5974,Hippocampus,FF4865,5
TTei,16159,intermediate stratum of TTe,FF5974,Hippocampus,FF4865,5
DPi,16160,dorsal peduncular cortex- intermediate part,FF5974,Hippocampus,FF4865,5
TTes,16161,superficial stratum of TTe,FF5974,Hippocampus,FF4865,5
PyTT,16162,pyramidal layer of taenia tecta,FF5974,Hippocampus,FF4865,5
S,16163,subiculum,FF4865,Hippocampus,FF4865,5
Sv,16164,ventricular zone of S,FF4865,Hippocampus,FF4865,5
Sm,16165,mantle zone of S,FF5974,Hippocampus,FF4865,5
Sp,16166,periventricular stratum of S,FF5974,Hippocampus,FF4865,5
Si,16167,intermediate stratum of S,FF5974,Hippocampus,FF4865,5
Ss,16169,superficial stratum of S,FF5974,Hippocampus,FF4865,5
PyS,16170,pyramidal layer of S,FF5974,Hippocampus,FF4865,5
SMol,16171,molecular layer of S,FF5974,Hippocampus,FF4865,5
PrS,16172,presubiculum,FF4865,Hippocampus,FF4865,5
PrSm,16174,mantle zone of PrS,FF5974,Hippocampus,FF4865,5
PrSs,16177,superficial stratum of PrS (cortical plate/marginal zone),FF5974,Hippocampus,FF4865,5
PrS-1,16178,layer 1 of PrS,FF5974,Hippocampus,FF4865,5
PrS-2,16179,layer 2 of PrS,FF5974,Hippocampus,FF4865,5
PrS-3,16180,layer 3 of PrS,FF5974,Hippocampus,FF4865,5
PrS-5,16182,layer 5 of PrS,FF5974,Hippocampus,FF4865,5
PrS-6,16183,layer 6 of PrS,FF5974,Hippocampus,FF4865,5
PrS-6a,16184,layer 6a of PrS,FF5974,Hippocampus,FF4865,5
PrS-6b,16185,layer 6b of PrS,FF5974,Hippocampus,FF4865,5
PaS,16186,parasubiculum,FF4865,Hippocampus,FF4865,5
PaSm,16188,mantle zone of PaS,FF5974,Hippocampus,FF4865,5
PaSs,16191,superficial stratum of PaS (cortical plate/marginal zone),FF5974,Hippocampus,FF4865,5
PaS-1,16192,layer 1 of PaS,FF5974,Hippocampus,FF4865,5
PaS-2,16193,layer 2 of PaS,FF5974,Hippocampus,FF4865,5
PaS-3,16194,layer 3 of PaS,FF5974,Hippocampus,FF4865,5
PaS-4,16195,layer 4 of PaS,FF5974,Hippocampus,FF4865,5
PaS-5,16196,layer 5 of PaS,FF5974,Hippocampus,FF4865,5
PaS-6,16197,layer 6 of PaS,FF5974,Hippocampus,FF4865,5
PaS-6a,111220572,layer 6a of PaS,FF5974,Hippocampus,FF4865,5
PaS-6b,111220574,layer 6b of PaS,FF5974,Hippocampus,FF4865,5
Fc,112892265,fasciola cinerea,FF4865,Hippocampus,FF4865,5
Fcm,112892269,mantle zone of the Fc,FF5974,Hippocampus,FF4865,5
Fcs,112892275,superficial stratum of the Fc,FF5974,Hippocampus,FF4865,5
SePall,16198,pallial septum,C87C2C,Rest Forebrain,C86A39,5
SePallv,16199,ventricular zone of SePall,C87C2C,Rest Forebrain,C86A39,5
SePallm,16200,mantle zone of SePall,D08F4A,Rest Forebrain,C86A39,5
SePallp,16201,periventricular stratum of SePall,D08F4A,Rest Forebrain,C86A39,5
SePalli,16202,intermediate stratum of SePall,D08F4A,Rest Forebrain,C86A39,5
SePalls,16203,superficial stratum of SePall,D08F4A,Rest Forebrain,C86A39,5
SHi,16204,septohippocampal nucleus,D08F4A,Rest Forebrain,C86A39,5
TelH,16205,telencephalo-hypothalamic transition area,AB382E,Rest Forebrain,C86A39,5
TelHv,16206,ventricular zone of TelH,AB382E,Rest Forebrain,C86A39,5
TelHm,16207,mantle zone of TelH,B7544C,Rest Forebrain,C86A39,5
TelHp,16208,periventricular stratum of TelH,B7544C,Rest Forebrain,C86A39,5
TelHi,16209,intermediate stratum of TelH,B7544C,Rest Forebrain,C86A39,5
TelHs,16210,superficial stratum of TelH,B7544C,Rest Forebrain,C86A39,5
p2R,16377,roof plate of p2 (epithalamic roofplate),FEF3A8,Thalamus,FFF189,5
p2Ch,16378,choroidal tissue of p2,FFF189,Thalamus,FFF189,5
p2Chv,111220584,ventricular zone of p2Ch,FFF189,Thalamus,FFF189,5
BHbC,16379,bed of the habenular commissure,FEF3A8,Thalamus,FFF189,5
 ,, , , , ,
POTel,15569,preoptic telencephalon,A84D10,Hypothalamus,A84D10,6
POR,15570,preoptic roof plate,C86A39,Hypothalamus,A84D10,6
RSCom,15571,rostral septocommissural area,C86A39,Hypothalamus,A84D10,6
RSComm,15574,mantle zone of RSCom,C86A39,Hypothalamus,A84D10,6
POA,15576,preoptic alar plate,A84D10,Hypothalamus,A84D10,6
PO,15577,preoptic area,A84D10,Hypothalamus,A84D10,6
LTer,15578,lamina terminalis area,B46632,Hypothalamus,A84D10,6
LTerv,15579,ventricular zone of LTer,A84D10,Hypothalamus,A84D10,6
LTerm,15580,mantle zone of LTer,B46632,Hypothalamus,A84D10,6
LTeri,15583,intermediate stratum of the LTer,B46632,Hypothalamus,A84D10,6
MnPOI,15584,median preoptic nucleus- intermediate part,B46632,Hypothalamus,A84D10,6
LTers,15585,superficial stratum of the LTer,B46632,Hypothalamus,A84D10,6
MnPOS,15586,median preoptic nucleus- superficial part,B46632,Hypothalamus,A84D10,6
PO1,15587,first (dorsal) preoptic domain,A84D10,Hypothalamus,A84D10,6
PO1v,15588,ventricular zone of PO1,A84D10,Hypothalamus,A84D10,6
PO1m,15589,mantle zone of PO1,B46632,Hypothalamus,A84D10,6
PO1p,15590,periventricular stratum of PO1,B46632,Hypothalamus,A84D10,6
DSPO,15592,dorsal septopreoptic nucleus,B46632,Hypothalamus,A84D10,6
PO1i,15593,intermediate stratum of PO1,B46632,Hypothalamus,A84D10,6
PS,15594,parastrial preoptic nucleus,B46632,Hypothalamus,A84D10,6
DMPAi,15595,dorsomedial preoptic area- intermediate part,B46632,Hypothalamus,A84D10,6
LPO1,15596,lateral preoptic area- PO1 part,B46632,Hypothalamus,A84D10,6
PO2,15599,second (ventral) preoptic domain,A84D10,Hypothalamus,A84D10,6
PO2v,15600,ventricular zone of PO2,A84D10,Hypothalamus,A84D10,6
PO2m,15601,mantle zone of PO2,B46632,Hypothalamus,A84D10,6
PO2p,15602,periventricular stratum of PO2,B46632,Hypothalamus,A84D10,6
MPOPe,15603,medial preoptic periventricular stratum,B46632,Hypothalamus,A84D10,6
MPO,15604,medial preoptic nucleus,B46632,Hypothalamus,A84D10,6
MPOL,15605,lateral part of MPO,B46632,Hypothalamus,A84D10,6
MPOM,15606,medial part of MPO,B46632,Hypothalamus,A84D10,6
MPOC,15607,central part of MPO,B46632,Hypothalamus,A84D10,6
PO2i,15608,intermediate stratum of PO2,B46632,Hypothalamus,A84D10,6
LPO2,15609,lateral preoptic nucleus- PO2 part,B46632,Hypothalamus,A84D10,6
POH,15613,preopto-hypothalamic band,A84D10,Hypothalamus,A84D10,6
POHv,15614,ventricular zone of POH,A84D10,Hypothalamus,A84D10,6
POHm,15615,mantle zone of POH,B46632,Hypothalamus,A84D10,6
POHp,15616,periventricular stratum of POH,B46632,Hypothalamus,A84D10,6
POHi,15617,intermediate stratum of POH,B46632,Hypothalamus,A84D10,6
StHy,15618,striohypothalamic nucleus,B46632,Hypothalamus,A84D10,6
POHA,15619,preopto-hypothalamic area,B46632,Hypothalamus,A84D10,6
TPaAi,15629,intermediate stratum of TPaA,B0754D,Hypothalamus,A84D10,6
TSM,15631,terminal nucleus of the stria medullaris,B0754D,Hypothalamus,A84D10,6
TSPa,15658,terminal subparaventricular area,B0754D,Hypothalamus,A84D10,6
SPall,15751,subpallium,F37321,Rest Forebrain,C86A39,6
SeSPall,15752,subpallial septum,FAA41A,Rest Forebrain,C86A39,6
DgSe,15753,diagonal part of septum,FAA41A,Rest Forebrain,C86A39,6
DgSev,15754,ventricular zone of DgSe,FAA41A,Rest Forebrain,C86A39,6
DgSem,15755,mantle zone of DgSe,FBB13B,Rest Forebrain,C86A39,6
DgSep,15756,periventricular stratum of DgSe,FBB13B,Rest Forebrain,C86A39,6
DgSei,15759,intermediate stratum of DgSe,FBB13B,Rest Forebrain,C86A39,6
LSIV,15760,lateral septal nucleus- intermedio-ventral part,FBB13B,Rest Forebrain,C86A39,6
SHy,15761,septohypothalamic nucleus,FBB13B,Rest Forebrain,C86A39,6
DgSes,15762,superficial stratum of DgSe,FBB13B,Rest Forebrain,C86A39,6
VDB,15763,vertical nucleus of the diagonal band,FBB13B,Rest Forebrain,C86A39,6
MS,15764,medial septal nucleus,FBB13B,Rest Forebrain,C86A39,6
PalSe,15765,pallidal septum,FAA41A,Rest Forebrain,C86A39,6
PalSev,15766,ventricular zone of PalSe,FAA41A,Rest Forebrain,C86A39,6
PalSem,15767,mantle zone of PalSe,FBB13B,Rest Forebrain,C86A39,6
PalSep,15768,periventricular stratum of PalSe,FBB13B,Rest Forebrain,C86A39,6
LSIp,15769,lateral septal nucleus- intermediate part- periventricular,FBB13B,Rest Forebrain,C86A39,6
PalSei,15770,intermediate stratum of PalSe,FBB13B,Rest Forebrain,C86A39,6
LSII,15771,lateral septal nucleus- intermedio-intermediate part,FBB13B,Rest Forebrain,C86A39,6
Ld,15772,lambdoid septal zone,FBB13B,Rest Forebrain,C86A39,6
PalSes,15773,superficial stratum of PalSe,FBB13B,Rest Forebrain,C86A39,6
StrSe,15774,striatal septum,FAA41A,Rest Forebrain,C86A39,6
StrSev,15775,ventricular zone of StrSe,FAA41A,Rest Forebrain,C86A39,6
StrSem,15776,mantle zone of StrSe,FBB13B,Rest Forebrain,C86A39,6
StrSep,15777,periventricular part of StrSe,FBB13B,Rest Forebrain,C86A39,6
LSD,15778,lateral septal nucleus- dorsal part,FBB13B,Rest Forebrain,C86A39,6
TS,15779,triangular septal nucleus,FBB13B,Rest Forebrain,C86A39,6
SFi,15780,septofimbrial nucleus,FBB13B,Rest Forebrain,C86A39,6
StrSei,15781,intermediate part of StrSe,FBB13B,Rest Forebrain,C86A39,6
LSID,15782,lateral septal nucleus- intermedio-dorsal part,FBB13B,Rest Forebrain,C86A39,6
StrSes,15783,superficial part of StrSe,FBB13B,Rest Forebrain,C86A39,6
PaSe,15784,paraseptal subpallium,F37321,Rest Forebrain,C86A39,6
SeDg,15785,septodiagonal transition area,F37321,Rest Forebrain,C86A39,6
SeDgv,15786,ventricular zone of SeDg,F37321,Rest Forebrain,C86A39,6
SeDgm,15787,mantle zone of SeDg,F5853A,Rest Forebrain,C86A39,6
SeDgp,15788,periventricular stratum of SeDg,F5853A,Rest Forebrain,C86A39,6
BSTMS,15789,bed nucleus of the stria terminalis- medioseptal division,F5853A,Rest Forebrain,C86A39,6
BSTMa,15791,nucleus of the stria terminalis- medial division- anterior part,F5853A,Rest Forebrain,C86A39,6
SeDgi,15792,intermediate stratum of SeDg,F5853A,Rest Forebrain,C86A39,6
SIBT,15793,substantia innominata/basal nucleus- transitional part,F5853A,Rest Forebrain,C86A39,6
BAC,15794,bed nucleus of the anterior commissure,F5853A,Rest Forebrain,C86A39,6
SeDgs,15795,superficial stratum of SeDg,F5853A,Rest Forebrain,C86A39,6
HDBT,15796,horizontal nucleus of the diagonal band- transitional part,F5853A,Rest Forebrain,C86A39,6
SePal,15797,septopallidal transition area,F37321,Rest Forebrain,C86A39,6
SePalv,15798,ventricular zone of SePal,F37321,Rest Forebrain,C86A39,6
SePalm,15799,mantle zone of SePal,F5853A,Rest Forebrain,C86A39,6
SePalp,15800,periventricular stratum of SePal,F5853A,Rest Forebrain,C86A39,6
SePali,15803,intermediate stratum of SePal,F5853A,Rest Forebrain,C86A39,6
SePalCo,15804,septopallidal core nucleus,F5853A,Rest Forebrain,C86A39,6
SePalSh,15805,septopallidal shell area,F5853A,Rest Forebrain,C86A39,6
SePals,15806,superficial stratum of SePal,F5853A,Rest Forebrain,C86A39,6
TuSePal,15807,septopallidal part of the olfactory tuberculum,F5853A,Rest Forebrain,C86A39,6
ICjM,15808,island of Calleja major,F5853A,Rest Forebrain,C86A39,6
SeStr,15809,septostriatal transition area (accumbens),F37321,Rest Forebrain,C86A39,6
SeStrv,15810,ventricular zone of SeStr,F37321,Rest Forebrain,C86A39,6
SeStrm,15811,mantle zone of SeStr,F5853A,Rest Forebrain,C86A39,6
SeStrp,15812,periventricular stratum of SeStr,F5853A,Rest Forebrain,C86A39,6
AcbCo,15813,accumbens nucleus- core domain,F5853A,Rest Forebrain,C86A39,6
SeStri,15814,intermediate stratum of SeStr,F5853A,Rest Forebrain,C86A39,6
AcbSh,15815,accumbens nucleus- shell domain,F5853A,Rest Forebrain,C86A39,6
SeStrs,15816,superficial stratum of SeStr,F5853A,Rest Forebrain,C86A39,6
TuSeStr,15817,septostriatal part of the olfactory tuberculum,F5853A,Rest Forebrain,C86A39,6
CSPall,15818,central subpallium (classic basal ganglia),E58724,Rest Forebrain,C86A39,6
Dg,15819,diagonal domain,E58724,Rest Forebrain,C86A39,6
Dgv,15820,ventricular zone of Dg,E58724,Rest Forebrain,C86A39,6
Dgm,15821,mantle zone of Dg,EA9E4E,Rest Forebrain,C86A39,6
Dgp,15822,periventricular stratum of Dg,EA9E4E,Rest Forebrain,C86A39,6
BSTMC,15823,bed nucleus of the stria terminalis- mediocentral division,EA9E4E,Rest Forebrain,C86A39,6
Dgi,15828,intermediate stratum of Dg,EA9E4E,Rest Forebrain,C86A39,6
SIB,15829,substantia innominata/basal nucleus,EA9E4E,Rest Forebrain,C86A39,6
IPal,15830,internal globus pallidus,EA9E4E,Rest Forebrain,C86A39,6
